task_id,cmd_vx,target_gait,competitor_gait,metric,weight,weight_fraction,target_score,competitor_score,raw_gap,weighted_gap,target_reward,competitor_reward,reward_gap
flat_trot_efficiency,0.5,trotting,bounding,progress,1.0,0.11235955056179775,0.95937542283535,0.919993067920208,0.03938235491514208,0.004424983698330571,0.9131544271111488,0.8979494383335114,0.01520498877763743
flat_trot_efficiency,0.5,trotting,bounding,yaw_tracking,0.3,0.033707865168539325,0.8110548241734504,0.8674066158533096,-0.05635179167985915,-0.0018994985959503083,0.9131544271111488,0.8979494383335114,0.01520498877763743
flat_trot_efficiency,0.5,trotting,bounding,orientation,0.3,0.033707865168539325,0.9090912624001503,0.738980258256197,0.1701110041439533,0.005734078791369212,0.9131544271111488,0.8979494383335114,0.01520498877763743
flat_trot_efficiency,0.5,trotting,bounding,lateral_drift,0.8,0.0898876404494382,0.4101726943701506,0.4142335627581924,-0.004060868388041816,-0.00036502187757679247,0.9131544271111488,0.8979494383335114,0.01520498877763743
flat_trot_efficiency,0.5,trotting,bounding,vertical_bounce,0.8,0.0898876404494382,0.8764191359877587,0.8454737395048142,0.030945396482944476,0.002781608672624223,0.9131544271111488,0.8979494383335114,0.01520498877763743
flat_trot_efficiency,0.5,trotting,bounding,slip,1.2,0.1348314606741573,0.9353177661895752,0.9105256804227829,0.02479208576679226,0.0033427531370955853,0.9131544271111488,0.8979494383335114,0.01520498877763743
flat_trot_efficiency,0.5,trotting,bounding,gait_stability,0.4,0.0449438202247191,1.0,0.9912452755570411,0.008754724442958883,0.00039347076148129814,0.9131544271111488,0.8979494383335114,0.01520498877763743
flat_trot_efficiency,0.5,trotting,bounding,action_smoothness,0.7,0.07865168539325842,1.0,0.9899939033985138,0.010006096601486214,0.0007869963619146459,0.9131544271111488,0.8979494383335114,0.01520498877763743
flat_trot_efficiency,0.5,trotting,bounding,action_magnitude,0.6,0.06741573033707865,1.0,1.0,0.0,0.0,0.9131544271111488,0.8979494383335114,0.01520498877763743
flat_trot_efficiency,0.5,trotting,bounding,action_boundary_margin,0.8,0.0898876404494382,1.0,1.0,0.0,0.0,0.9131544271111488,0.8979494383335114,0.01520498877763743
flat_trot_efficiency,0.5,trotting,bounding,survival,2.0,0.2247191011235955,1.0,0.9999749999046326,2.5000095367433417e-05,5.617998958973802e-06,0.9131544271111488,0.8979494383335114,0.01520498877763743
flat_trot_efficiency,1.0,trotting,bounding,progress,1.0,0.11235955056179775,0.9029840688705444,0.8688181648254395,0.03416590404510489,0.003838865623045493,0.890444921374321,0.8756109579205513,0.014833963453769639
flat_trot_efficiency,1.0,trotting,bounding,yaw_tracking,0.3,0.033707865168539325,0.7542289934754371,0.7884451221823693,-0.034216128706932136,-0.0011533526530426563,0.890444921374321,0.8756109579205513,0.014833963453769639
flat_trot_efficiency,1.0,trotting,bounding,orientation,0.3,0.033707865168539325,0.916594364643097,0.7641659115552902,0.15242845308780673,0.005138037744532811,0.890444921374321,0.8756109579205513,0.014833963453769639
