candidate,task_id,cmd_vx,top_gait,second_gait,metric,top_score,second_score,top_minus_second
balanced,flat_trot_efficiency,0.5,pacing,pronking,tracking,0.987083911895752,0.9883027076721191,-0.0012187957763671875
balanced,flat_trot_efficiency,0.5,pacing,pronking,yaw,0.8386761546134949,0.915241003036499,-0.07656484842300415
balanced,flat_trot_efficiency,0.5,pacing,pronking,orientation,0.8168860673904419,0.8696674704551697,-0.05278140306472778
balanced,flat_trot_efficiency,0.5,pacing,pronking,lateral,0.06808607280254364,0.25467339158058167,-0.18658731877803802
balanced,flat_trot_efficiency,0.5,pacing,pronking,slip,0.6288707256317139,0.7658694386482239,-0.13699871301651
balanced,flat_trot_efficiency,0.5,pacing,pronking,energy,0.5474758148193359,0.5030423402786255,0.04443347454071045
balanced,flat_trot_efficiency,0.5,pacing,pronking,impact,0.9302250146865845,0.5972669124603271,0.3329581022262573
balanced,flat_trot_efficiency,0.5,pacing,pronking,scuff,0.7029285430908203,0.5015760660171509,0.20135247707366943
balanced,flat_trot_efficiency,0.5,pacing,pronking,smoothness,0.9881699085235596,0.9911057949066162,-0.0029358863830566406
balanced,flat_trot_efficiency,0.5,pacing,pronking,survival,0.9899999992921948,0.9909999994561076,-0.0010000001639127731
balanced,flat_trot_efficiency,0.5,pacing,pronking,clearance,1.0,0.5,0.5
balanced,flat_trot_efficiency,0.5,pacing,pronking,boundary,0.4813936948776245,1.0,-0.5186063051223755
balanced,flat_trot_efficiency,0.5,pacing,pronking,vx_abs_error_mean,0.0570092536509037,0.05423619598150253,0.002773057669401169
balanced,flat_trot_efficiency,0.5,pacing,pronking,fall_rate,0.010000000707805157,0.009000000543892384,0.0010000001639127731
balanced,flat_trot_efficiency,0.5,pacing,pronking,lateral_offset_abs_mean,1.507596731185913,1.295474886894226,0.212121844291687
balanced,flat_trot_efficiency,0.5,pacing,pronking,scuffing_ratio_mean,0.07050000131130219,0.1380000114440918,-0.06750001013278961
balanced,flat_trot_efficiency,0.5,pacing,pronking,foot_impact_vel_sum_mean,0.1513606756925583,0.7984240055084229,-0.6470633298158646
balanced,flat_trot_efficiency,0.5,pacing,pronking,transport_cost_proxy,188.00748040219793,245.46789435664044,-57.460413954442515
balanced,flat_trot_efficiency,0.5,pacing,pronking,foot_impact_vel_rms,0.5378801917147509,1.435814950124181,-0.8979347584094302
balanced,flat_trot_efficiency,0.5,pacing,pronking,orientation_rms,0.10056232550241671,0.08355967501766003,0.017002650484756687
balanced,flat_trot_efficiency,0.5,pacing,pronking,lateral_vel_rms,0.24283595335180136,0.06012426639233748,0.18271168695946388
balanced,flat_trot_efficiency,1.0,pronking,trotting,tracking,0.9240723252296448,0.9353487491607666,-0.011276423931121826
balanced,flat_trot_efficiency,1.0,pronking,trotting,yaw,0.8649044036865234,0.7697497010231018,0.09515470266342163
balanced,flat_trot_efficiency,1.0,pronking,trotting,orientation,0.8907532095909119,0.9088102579116821,-0.018057048320770264
balanced,flat_trot_efficiency,1.0,pronking,trotting,lateral,0.23210103809833527,0.30128586292266846,-0.06918482482433319
balanced,flat_trot_efficiency,1.0,pronking,trotting,slip,0.7729372978210449,0.6860528588294983,0.08688443899154663
balanced,flat_trot_efficiency,1.0,pronking,trotting,energy,0.4857826232910156,0.4967673420906067,-0.010984718799591064
balanced,flat_trot_efficiency,1.0,pronking,trotting,impact,0.6572407484054565,0.713991105556488,-0.056750357151031494
balanced,flat_trot_efficiency,1.0,pronking,trotting,scuff,0.5038802027702332,0.44597160816192627,0.057908594608306885
balanced,flat_trot_efficiency,1.0,pronking,trotting,smoothness,0.9822114706039429,1.0,-0.01778852939605713
balanced,flat_trot_efficiency,1.0,pronking,trotting,survival,0.982999999076128,0.9819999989122152,0.0010000001639127731
balanced,flat_trot_efficiency,1.0,pronking,trotting,clearance,0.5,0.5,0.0
balanced,flat_trot_efficiency,1.0,pronking,trotting,boundary,1.0,1.0,0.0
balanced,flat_trot_efficiency,1.0,pronking,trotting,vx_abs_error_mean,0.14050352573394775,0.12926310300827026,0.01124042272567749
balanced,flat_trot_efficiency,1.0,pronking,trotting,fall_rate,0.017000000923871994,0.018000001087784767,-0.0010000001639127731
balanced,flat_trot_efficiency,1.0,pronking,trotting,lateral_offset_abs_mean,1.2840304374694824,1.0688319206237793,0.21519851684570312
balanced,flat_trot_efficiency,1.0,pronking,trotting,scuffing_ratio_mean,0.13708333671092987,0.1615000069141388,-0.024416670203208923
balanced,flat_trot_efficiency,1.0,pronking,trotting,foot_impact_vel_sum_mean,0.6514879465103149,0.6129928231239319,0.03849512338638306
balanced,flat_trot_efficiency,1.0,pronking,trotting,transport_cost_proxy,181.93278962575167,145.21879293661158,36.71399668914009
balanced,flat_trot_efficiency,1.0,pronking,trotting,foot_impact_vel_rms,1.2956926240876478,1.1608354402151921,0.1348571838724557
balanced,flat_trot_efficiency,1.0,pronking,trotting,orientation_rms,0.0760551951290543,0.0691443848059099,0.0069108103231444035
balanced,flat_trot_efficiency,1.0,pronking,trotting,lateral_vel_rms,0.09395531682379749,0.08088997109988678,0.013065345723910701
balanced,flat_trot_efficiency,1.5,trotting,pronking,tracking,0.851686954498291,0.802014946937561,0.04967200756072998
balanced,flat_trot_efficiency,1.5,trotting,pronking,yaw,0.6754521727561951,0.8249346017837524,-0.14948242902755737
balanced,flat_trot_efficiency,1.5,trotting,pronking,orientation,0.9081472158432007,0.897905707359314,0.010241508483886719
balanced,flat_trot_efficiency,1.5,trotting,pronking,lateral,0.19519315659999847,0.2301182746887207,-0.03492511808872223
balanced,flat_trot_efficiency,1.5,trotting,pronking,slip,0.6315993666648865,0.6004946231842041,0.031104743480682373
balanced,flat_trot_efficiency,1.5,trotting,pronking,energy,0.45116597414016724,0.42408981919288635,0.027076154947280884
balanced,flat_trot_efficiency,1.5,trotting,pronking,impact,0.6099174618721008,0.5708321332931519,0.039085328578948975
balanced,flat_trot_efficiency,1.5,trotting,pronking,scuff,0.4696190655231476,0.47970524430274963,-0.01008617877960205
